"Info","Info"
"Facebook Pixel","Facebook Pixel"
"Apptrian Extensions","Apptrian Extensions"
"General","General"
"Enabled","Enabled"
"Enables or disables extension.","Enables or disables extension."
"Facebook Pixel ID","Facebook Pixel ID"
"Your Facebook Pixel ID.","Your Facebook Pixel ID."
"Product Parameters to Attributes Mapping","Product Parameters to Attributes Mapping"
"If you want to add custom parameters to products. Please see a tooltip.","If you want to add custom parameters to products. Please see a tooltip."
"Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign.","Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign."
"Product Parameters to Attributes Mapping (Order Items)","Product Parameters to Attributes Mapping (Order Items)"
"If you want to add custom parameters to order items. Please see a tooltip.","If you want to add custom parameters to order items. Please see a tooltip."
"Product Parameters to Attributes Mapping is not valid.","Product Parameters to Attributes Mapping is not valid."
"Facebook Pixel ID is not valid.","Facebook Pixel ID is not valid."
