"Title","Title"
"Priority","Priority"
"Store View","Store View"
"Error Message","Error Message"
"Status","Status"
"Action","Action"
"Edit Item","Edit Item"
"Rules Manager","Rules Manager"
"Add Rule","Add Rule"
"Basic information","Basic information"
"Customer Groups","Customer Groups"
"Content","Content"
"Restrict Cms Page(s)","Restrict Cms Page(s)"
"CMS Pages","CMS Pages"
"Other Pages","Other Pages"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Restriction Type","Restriction Type"
"Type","Type"
"Basic","Basic"
"Manual","Manual"
"Upon choosing form type, will automatically redirect to that form","Upon choosing form type, will automatically redirect to that form"
"Give a URL to redirect to from any URL on the store!","Give a URL to redirect to from any URL on the store!"
